Date,Hour,Purchase Bid (MWh),Sell Bid (MWh),MCV (MWh),Final Scheduled Volume (MWh),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
27-03-2026,6,16632.10,12578.75,8370.05,8370.05,4482.16,4467.32
27-03-2026,7,18948.60,12297.13,9818.15,9818.15,5178.13,5201.40
27-03-2026,8,18964.95,14192.38,9846.45,9846.45,4338.31,4363.95
27-03-2026,9,17643.28,22380.50,10699.18,10699.18,2885.27,2893.96
27-03-2026,10,15886.43,32833.60,10615.54,10615.54,2417.10,2415.43
27-03-2026,11,16103.55,43607.23,12013.23,12013.23,2049.09,2046.49
27-03-2026,12,16717.33,49001.18,13334.38,13372.21,1952.62,1952.75
27-03-2026,13,16279.68,53055.83,14087.01,14138.00,1884.93,1878.11
27-03-2026,14,15998.80,55602.98,14571.63,14520.30,1543.73,1543.73
27-03-2026,15,16291.30,47400.95,13729.70,13730.25,1738.22,1733.99
27-03-2026,16,16569.45,38898.45,12074.36,12074.36,2091.25,2088.84
27-03-2026,17,18083.43,30487.25,12083.45,12083.45,2924.42,2922.04
27-03-2026,18,17101.60,18872.63,9468.62,9468.62,3453.57,3444.19
27-03-2026,19,18705.28,11564.58,8483.23,8483.23,6748.72,6555.13
27-03-2026,20,18654.15,8820.33,6915.77,6915.77,9874.86,9864.37
27-03-2026,21,15941.33,10422.88,7465.60,7465.60,5097.13,5096.53
27-03-2026,22,15786.23,9240.93,6643.18,6643.18,5096.81,5096.04
27-03-2026,23,15665.93,8760.30,6456.99,6456.99,5171.49,5171.32
27-03-2026,24,15591.05,9785.98,6651.84,6651.84,4712.56,4712.88
28-03-2026,1,17826.10,12186.53,8687.30,8687.30,4670.08,4664.91
28-03-2026,2,17845.20,13742.13,9026.93,9026.93,4256.62,4258.27
28-03-2026,3,17962.63,15956.43,9548.85,9548.85,4039.81,4039.80
28-03-2026,4,18086.78,17192.23,9895.60,9895.60,3903.60,3903.60
28-03-2026,5,18044.60,16083.35,9612.20,9612.20,3964.65,3964.34
28-03-2026,6,17246.45,12388.60,8863.53,8863.53,4678.20,4650.67
28-03-2026,7,17598.38,11650.23,8767.53,8767.53,4940.66,4940.51
28-03-2026,8,16708.08,15766.28,8512.13,8512.13,3779.17,3808.47
28-03-2026,9,15740.08,26299.28,9460.18,9460.18,2507.34,2505.99
28-03-2026,10,14081.80,35870.98,9819.46,9819.46,2158.64,2157.61
28-03-2026,11,13273.78,43774.15,11148.12,11148.12,1656.24,1655.29
28-03-2026,12,14220.58,47917.80,12375.39,12375.39,1569.79,1571.05
28-03-2026,13,14473.80,50795.63,13249.90,13249.90,1581.81,1581.08
28-03-2026,14,14684.48,53964.53,13573.95,13573.95,1543.31,1543.31
28-03-2026,15,16500.63,47888.75,14426.65,14426.65,1654.96,1651.88
28-03-2026,16,16532.20,39396.20,12450.59,12450.59,2055.31,2049.66
28-03-2026,17,16417.23,31395.80,10599.94,10599.94,2603.97,2580.92
28-03-2026,18,15084.00,19852.95,7863.77,7863.77,3236.37,3222.44
28-03-2026,19,16396.00,11867.85,7360.40,7360.40,5801.90,5669.66
28-03-2026,20,16699.03,9204.13,6483.65,6483.65,8236.87,8222.51
28-03-2026,21,15011.53,10007.25,6658.18,6658.18,4772.61,4770.44
28-03-2026,22,15140.85,9227.78,6154.70,6154.70,5012.52,5011.93
28-03-2026,23,15565.48,8530.95,5757.25,5757.25,5440.42,5437.92
28-03-2026,24,15082.85,9647.85,5997.70,5997.70,4748.89,4754.11
29-03-2026,1,17121.90,15409.10,9438.69,9438.69,4204.06,4204.58
29-03-2026,2,17448.88,17023.18,9886.74,9886.74,3988.12,3988.33
29-03-2026,3,17746.03,18579.05,10452.57,10452.57,3903.40,3903.41
29-03-2026,4,17888.63,19634.50,10639.05,10639.05,3827.69,3827.69
29-03-2026,5,18589.58,19375.93,11223.83,11223.83,3876.32,3876.73
29-03-2026,6,17191.95,16082.15,10137.25,10137.25,4108.20,4108.02
29-03-2026,7,16817.25,16296.20,9669.18,9669.18,4068.11,4067.35
29-03-2026,8,16360.10,19429.88,9599.23,9599.23,3400.97,3414.68
29-03-2026,9,14581.78,30757.10,9930.10,9930.10,2286.72,2291.13
29-03-2026,10,10825.60,39025.20,9183.22,9183.22,1504.12,1506.24
29-03-2026,11,10032.85,47683.55,8960.85,8960.85,983.28,983.28
29-03-2026,12,10662.90,54027.08,9590.40,9590.40,983.29,983.29
29-03-2026,13,10398.78,57610.48,10026.28,10026.28,983.37,983.37
29-03-2026,14,10759.93,59428.28,10136.43,10136.43,983.27,983.27
29-03-2026,15,11815.18,53295.68,10680.43,10680.43,983.62,983.62
29-03-2026,16,13652.05,45640.38,11784.29,11784.29,1653.78,1651.57
29-03-2026,17,14789.68,37788.68,10741.20,10741.20,2167.15,2164.02
29-03-2026,18,13782.48,24468.30,8308.86,8308.86,2497.35,2488.83
29-03-2026,19,15445.73,15498.75,8414.03,8414.03,3980.92,3991.39
29-03-2026,20,16142.33,13587.20,8377.75,8377.75,4671.73,4673.73
29-03-2026,21,15352.55,13814.50,8283.95,8283.95,3849.75,3850.20
29-03-2026,22,14740.95,12877.13,7680.32,7680.32,3887.32,3887.78
29-03-2026,23,15240.65,11981.33,6900.65,6900.65,4105.19,4105.90
29-03-2026,24,15200.55,12482.73,7143.10,7143.10,3717.61,3712.15
30-03-2026,1,16312.48,10799.35,7936.85,7936.85,6610.20,6629.31
30-03-2026,2,16238.80,12471.65,8487.35,8487.35,4652.66,4652.09
30-03-2026,3,16563.78,14530.28,9323.45,9323.45,4360.29,4360.30
30-03-2026,4,16958.83,15765.20,9738.23,9738.23,4072.24,4072.09
30-03-2026,5,17426.80,15227.50,10130.35,10130.35,4220.24,4220.60
30-03-2026,6,15870.40,11939.83,8437.82,8437.82,4878.49,4854.49
30-03-2026,7,16834.18,11631.05,8718.20,8718.20,5656.42,5673.84
30-03-2026,8,16236.03,14875.33,9695.08,9695.08,4302.91,4313.81
30-03-2026,9,15008.75,26177.13,10140.28,10140.28,2846.58,2861.77
30-03-2026,10,13246.38,34045.80,9589.73,9589.73,2139.12,2137.78
30-03-2026,11,12065.63,41457.98,10468.07,10468.07,1800.44,1798.54
30-03-2026,12,13708.18,46241.90,12015.02,12015.02,1820.57,1820.96
30-03-2026,13,13955.15,48259.98,12752.59,12752.59,1708.86,1705.77
30-03-2026,14,13580.50,50576.13,12909.09,12909.09,1543.13,1543.13
30-03-2026,15,13908.08,46527.60,13079.12,13079.12,1654.49,1653.13
30-03-2026,16,14270.75,39406.60,11726.37,11726.37,2146.81,2142.42
30-03-2026,17,16223.58,32420.35,11075.44,11075.44,2824.25,2815.08
30-03-2026,18,15165.20,19150.65,8308.70,8308.70,3338.23,3326.99
30-03-2026,19,16488.40,9730.50,6985.80,6985.80,8638.10,8439.34
